time,depot,bus,charger_power_MW,safe_charging_limit_MW,all_installed_feasible,min_voltage_pu_at_full_charge,max_line_loading_percent_at_full_charge,max_trafo_loading_percent_at_full_charge,full_charge_failure_reason
2026-01-11 16:00:00+00:00,ICA,1,0.776,0.776,True,0.9915488698678651,29.869922588054276,66.66107445914811,none
2026-01-11 16:00:00+00:00,Mathem,1,0.286,0.286,True,0.9915488698678651,29.869922588054276,66.66107445914811,none
2026-01-11 16:00:00+00:00,Postnord,1,0.418,0.418,True,0.9915488698678651,29.869922588054276,66.66107445914811,none
2026-01-11 16:00:00+00:00,Airmee,1,0.132,0.132,True,0.9915488698678651,29.869922588054276,66.66107445914811,none
2026-01-11 17:00:00+00:00,ICA,1,0.776,0.776,True,0.991515209593008,29.9179453404099,66.75818030580405,none
2026-01-11 17:00:00+00:00,Mathem,1,0.286,0.286,True,0.991515209593008,29.9179453404099,66.75818030580405,none
2026-01-11 17:00:00+00:00,Postnord,1,0.418,0.418,True,0.991515209593008,29.9179453404099,66.75818030580405,none
2026-01-11 17:00:00+00:00,Airmee,1,0.132,0.132,True,0.991515209593008,29.9179453404099,66.75818030580405,none
2026-01-11 18:00:00+00:00,ICA,1,0.776,0.776,True,0.994217099090544,26.04067107165879,58.88760452802085,none
2026-01-11 18:00:00+00:00,Mathem,1,0.286,0.286,True,0.994217099090544,26.04067107165879,58.88760452802085,none
2026-01-11 18:00:00+00:00,Postnord,1,0.418,0.418,True,0.994217099090544,26.04067107165879,58.88760452802085,none
2026-01-11 18:00:00+00:00,Airmee,1,0.132,0.132,True,0.994217099090544,26.04067107165879,58.88760452802085,none
2026-01-11 19:00:00+00:00,ICA,1,0.776,0.776,True,0.9942528674980874,25.98904781601059,58.78237170003386,none
2026-01-11 19:00:00+00:00,Mathem,1,0.286,0.286,True,0.9942528674980874,25.98904781601059,58.78237170003386,none
2026-01-11 19:00:00+00:00,Postnord,1,0.418,0.418,True,0.9942528674980874,25.98904781601059,58.78237170003386,none
2026-01-11 19:00:00+00:00,Airmee,1,0.132,0.132,True,0.9942528674980874,25.98904781601059,58.78237170003386,none
2026-01-11 20:00:00+00:00,ICA,1,0.776,0.776,True,0.9942147065861764,26.044123834914686,58.89464244571598,none
2026-01-11 20:00:00+00:00,Mathem,1,0.286,0.286,True,0.9942147065861764,26.044123834914686,58.89464244571598,none
2026-01-11 20:00:00+00:00,Postnord,1,0.418,0.418,True,0.9942147065861764,26.044123834914686,58.89464244571598,none
2026-01-11 20:00:00+00:00,Airmee,1,0.132,0.132,True,0.9942147065861764,26.044123834914686,58.89464244571598,none
2026-01-11 21:00:00+00:00,ICA,1,0.776,0.776,True,0.9942979926216198,25.92391030946233,58.649571837834266,none
2026-01-11 21:00:00+00:00,Mathem,1,0.286,0.286,True,0.9942979926216198,25.92391030946233,58.649571837834266,none
2026-01-11 21:00:00+00:00,Postnord,1,0.418,0.418,True,0.9942979926216198,25.92391030946233,58.649571837834266,none
2026-01-11 21:00:00+00:00,Airmee,1,0.132,0.132,True,0.9942979926216198,25.92391030946233,58.649571837834266,none
2026-01-11 22:00:00+00:00,ICA,1,0.776,0.776,True,0.994306863042387,25.911104665931255,58.62346173434,none
2026-01-11 22:00:00+00:00,Mathem,1,0.286,0.286,True,0.994306863042387,25.911104665931255,58.62346173434,none
2026-01-11 22:00:00+00:00,Postnord,1,0.418,0.418,True,0.994306863042387,25.911104665931255,58.62346173434,none
2026-01-11 22:00:00+00:00,Airmee,1,0.132,0.132,True,0.994306863042387,25.911104665931255,58.62346173434,none
2026-01-11 23:00:00+00:00,ICA,1,0.776,0.776,True,0.9943337101852974,25.872344597072583,58.54442685936962,none
2026-01-11 23:00:00+00:00,Mathem,1,0.286,0.286,True,0.9943337101852974,25.872344597072583,58.54442685936962,none
2026-01-11 23:00:00+00:00,Postnord,1,0.418,0.418,True,0.9943337101852974,25.872344597072583,58.54442685936962,none
2026-01-11 23:00:00+00:00,Airmee,1,0.132,0.132,True,0.9943337101852974,25.872344597072583,58.54442685936962,none
2026-01-12 00:00:00+00:00,ICA,1,0.776,0.776,True,0.9943952459254208,25.78348876371745,58.36321463747102,none
2026-01-12 00:00:00+00:00,Mathem,1,0.286,0.286,True,0.9943952459254208,25.78348876371745,58.36321463747102,none
2026-01-12 00:00:00+00:00,Postnord,1,0.418,0.418,True,0.9943952459254208,25.78348876371745,58.36321463747102,none
2026-01-12 00:00:00+00:00,Airmee,1,0.132,0.132,True,0.9943952459254208,25.78348876371745,58.36321463747102,none
2026-01-12 01:00:00+00:00,ICA,1,0.776,0.776,True,0.994464155772348,25.68396078675314,58.16019082104453,none
2026-01-12 01:00:00+00:00,Mathem,1,0.286,0.286,True,0.994464155772348,25.68396078675314,58.16019082104453,none
2026-01-12 01:00:00+00:00,Postnord,1,0.418,0.418,True,0.994464155772348,25.68396078675314,58.16019082104453,none
2026-01-12 01:00:00+00:00,Airmee,1,0.132,0.132,True,0.994464155772348,25.68396078675314,58.16019082104453,none
2026-01-12 02:00:00+00:00,ICA,1,0.776,0.776,True,0.9945178306516639,25.606419515597867,58.001982257824544,none
2026-01-12 02:00:00+00:00,Mathem,1,0.286,0.286,True,0.9945178306516639,25.606419515597867,58.001982257824544,none
